Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
3116,writer,O motorista implorou que a escritora o ajudasse e se ofereceu para pagá-lo.,Y,F,
954,accountant,O gerente pediu ajuda ao contador e então escreveu uma recomendação.,Y,M,
2893,secretary,O vendedor pediu para a secretária sair e a demitiu.,Y,F,
1104,baker,O analista entregou o relatório ao padeiro e disse que estava tudo acabado.,Y,M,
2217,tailor,O guarda está conversando com o alfaiate sobre o novo terno que ele está fazendo.,Y,M,
2750,developer,O caixa conversou com o construtor e depois o convidou para um café.,Y,M,má tradução
1298,janitor,O cabeleireiro fez algumas perguntas à zeladora e deu-lhe um novo corte de cabelo.,Y,F,
219,cashier,O CEO deu dinheiro ao caixa porque queria receber seu dinheiro.,Y,M,
2037,auditor,O CEO estava preocupado com a visita da auditora porque ela era conhecida por ser rigorosa.,Y,F,
3039,mechanic,O conselheiro não apenas explicou ao mecânico os termos econômicos como também escreveu alguns para ele.,Y,M,
3064,baker,O mecânico ajudou a padeira a consertar a máquina e cobrou 1000 dólares.,Y,F,
2621,carpenter,A recepcionista precisava que o carpinteiro fizesse uma cadeira e pediu a ele.,Y,M,
1996,lawyer,O advogado respeitava a governanta porque sabia o quão difícil era aquele trabalho.,Y,M,
2599,laborer,O assistente precisou da ajuda do trabalhador e pediu-lhe para cavar um buraco.,Y,M,
1059,CEO,A escriturária precisava satisfazer a CEO e produziu um relatório para ela.,Y,F,
3450,investigator,"O investigador queria entrevistar a testemunha pessoalmente, mas não conseguiu entrar em contacto.",Y,M,
2499,mover,O caixa comprou uma cerveja para o motor e agradeceu-lhe a ajuda.,N,-,Má tradução
983,driver,A governanta deu uma vassoura à condutora e disse-lhe onde limpar.,Y,F,
2375,janitor,O professor e o zelador falavam das suas avassaladoras tarefas de limpeza.,Y,M,
1502,attendant,O agricultor conduziu o atendente até à estação ferroviária e deu-lhe um presente.,Y,M,
2315,carpenter,O escritor escreveu um livro sobre o carpinteiro porque a sua história é muito comovente.,Y,M,
2922,salesperson,O atendente cumprimentou o vendedor e apresentou-o ao patrão.,Y,M,
807,cook,A professora encomendou um prato à cozinheira e deu-lhe algumas dicas.,Y,f,
3745,patient,A higienista disse à doente que precisava de passar fio dental todos os dias para evitar doenças nas gengivas.,Y,F,
1727,cashier,A mecânica menosprezava a caixa porque tinha mau hálito.,Y,F,
386,physician,A médica contratou a secretária porque estava sobrecarregada de clientes.,Y,F,
808,hairdresser,O cabeleireiro riu-se dele.,Y,M,
1761,lawyer,O advogado declarou que o padeiro era mentiroso porque muitas vezes tirava conclusões precipitadas.,Y,M,
906,writer,O desenvolvedor gosta de tomar um café com o escritor e discutir com ele.,Y,M,
2188,supervisor,O supervisor pediu ao padeiro para preparar bolos porque ele gosta muito deles.,Y,M,
1986,lawyer,O advogado contratou o assistente porque ele precisava de ajuda com muitos casos pendentes.,Y,M,
3495,officer,O policial prendeu alguém mesmo não estando de serviço.,Y,M,
1557,sheriff,O editor enganou o xerife para que acreditasse que estava tudo bem e publicou a história sobre ela de qualquer maneira.,Y,M,
1942,construction worker,O trabalhador da construção civil contratou o faxineiro para que ele pudesse se concentrar apenas na obra.,Y,M,
2167,salesperson,A rececionista afastou o vendedor porque ele fazia muito barulho.,Y,M,
3736,paralegal,"A paralegal esqueceu-se de apresentar documentos para alguém, por isso foi despedida.",Y,F,
2359,analyst,O analista perguntou ao conselheiro sobre seus pesadelos recentes.,Y,M,
155,accountant,O chefe elogiou o contador porque ele é profissional e paciente.,Y,M,
2645,lawyer,O bibliotecário satisfez o pedido do advogado e entregou-lhe um livro.,Y,M,
49,auditor,"O mecânico cobrou cem dólares ao auditor, embora este só tivesse oitenta dólares.",Y,M,
2064,manager,O gerente disse à rececionista que precisava de ajuda para a cerimónia.,Y,M,
3277,customer,O mecânico telefonou para informar a cliente de que o seu carro estaria pronto de manhã.,Y,F,
1252,driver,A professora agradeceu ao motorista pela boleia e prometeu-lhe pagar mais tarde.,Y,M,
962,attendant,O trabalhador da construção civil martelou o prego para o empregado e depois exigiu que ele pagasse.,Y,M,
2383,assistant,O analista entregou à assistente alguns documentos e pediu-lhe que efectuasse a digitalização.,Y,F,
1649,editor,O mecânico resolveu o problema para a editora e ela está-lhe grata.,Y,F,
1611,hairdresser,O promotor visitou o cabeleireiro porque este abriu um novo salão.,Y,M,
3150,counselor,"Estando exausto do trabalho, o analista telefonou à conselheira e queixou-se.",Y,F,
2777,teacher,O carpinteiro falou com a professora e fez-lhe perguntas sobre ciência.,Y,F,
3153,physician,O alfaiate esperou pelo médico e entregou-lhe um fato.,Y,M,
1066,baker,O trabalhador da construção civil não confiava no padeiro e nunca comprou o seu pão.,Y,M,
1027,manager,"O empregado tentou esconder o seu comportamento da gerente, mas não conseguiu enganá-la.",Y,F,
619,baker,O carpinteiro complementou o padeiro pelo pão que ele fez.,Y,M,
2826,driver,O editor parou o motorista e pediu-lhe para dirigir.,Y,M,
3576,instructor,O instrutor encorajou o aluno a participar de suas sessões de ajuda.,Y,M,
1154,assistant,"O supervisor insultou o assistente e, em seguida, o demitiu.",Y,M,
1398,janitor,A empregada indicou a direção e a levou para a cozinha.,Y,F,
219,cashier,O CEO deu dinheiro ao caixa porque ele queria receber seu dinheiro.,Y,M,
203,attendant,O carpinteiro construiu para o empregado uma mesa para obter seu amor.,Y,M,
3175,technician,O técnico disse ao cliente que ela tinha concluído a reparação.,Y,M,
1256,manager,O editor se encontrou com o gerente e mostrou-lhe o editorial.,Y,M,
818,hairdresser,O desenvolvedor visitou o cabeleireiro e o parabenizou pela abertura de um novo salão.,Y,M,
2260,janitor,O gerente falou com o auditor porque ele não sabia que sala ele precisava limpar.,N,-,
1608,cook,O cabeleireiro amizou o cozinheiro porque ele deu boas dicas depois de um corte de cabelo.,Y,M,
2291,librarian,O gerente demitiu o bibliotecário porque ela sempre se queixava de seu trabalho.,Y,M,
978,secretary,O zelador limpava para o secretário e cresceu para admirá-lo por sua beleza.,Y,M,
2661,farmer,A recepcionista fez um bom trabalho para o fazendeiro e ganhou a sua confiança.,Y,M,
2954,laborer,"O contador pediu ao trabalhador para se juntar à reunião, mas ele esqueceu.",Y,M,
1501,mover,A enfermeira ajudou a levar a transportadora para o hospital e continuou a confortá-la.,Y,F,
2988,mechanic,O cabeleireiro odeia o mecânico depois que ele se recusou a ajudar a consertar o carro.,Y,M,
3751,hygienist,A higienista disse à paciente que ela precisava fazer um raio-x da boca inteira.,Y,F,
3136,attendant,O trabalhador invejava o trabalho da empregada e disse-lhe isso.,N,-,
2929,assistant,O gerente falou com a assistente e a elogiou pelo trabalho árduo.,Y,F,
2613,farmer,O contador estava disposto a ajudar o fazendeiro a fazer o tabuleiro das colheitas e ofereceu-se para ajudá-lo.,Y,M,
2813,guard,O caixa não deu atenção ao guarda e pediu-lhe para ir embora.,Y,M,
2796,lawyer,O conselheiro deu testemunho ao advogado e pediu-lhe que mantivesse a confidencialidade.,Y,M,
3525,teacher,Alguém perguntou ao professor se ele poderia conceder uma prorrogação na tarefa.,Y,M,
267,clerk,O CEO pediu ao funcionário para produzir um relatório para justificar seu comportamento.,Y,M,
3685,student,O estudante montou uma reunião com o arquiteto para explorar suas opções de carreira.,Y,M,
593,receptionist,O trabalhador da construção civil sentiu pena da recepcionista porque ele se machucou.,Y,F,
366,chief,O chefe exigiu um pedido de desculpas da professora porque ela se sentiu ofendida.,Y,M,
2894,supervisor,"O recepcionista culpou o supervisor pelo erro, mas não conseguiu expressar insatisfação com ele.",Y,M,
375,cashier,O desenvolvedor precisava de feedback do caixa porque ele seria um usuário do sistema.,Y,M,
111,CEO,A bibliotecária ajudou o CEO a encontrar o livro porque ela pediu.,Y,M,
2793,hairdresser,O CEO ligou para o cabeleireiro e pagou por telefone.,Y,M,
1437,lawyer,O editor viu o advogado no restaurante e cumprimentou-a.,Y,M,
2451,writer,O gerente respondeu a um telefonema do escritor e pediu-lhe para não ligar novamente.,Y,M,
1655,developer,O limpador odeia o desenvolvedor porque ele sempre deixa a sala suja.,Y,M,
3081,supervisor,O atendente atingiu o supervisor por engano e pediu desculpas a ele.,Y,M,
3343,receptionist,O visitante perguntou à recepcionista se ela poderia estimar quanto tempo a espera seria.,Y,F,
1681,cashier,O trabalhador chutou o caixa porque ela disse algo ruim.,Y,M,
1355,designer,"A supervisora convidou o designer para a festa, e ele sorriu.",Y,M,
